['中国电建', '601669', 819, ['2025-04-07', 4.54, 4.69, '2025-04-08', 4.76, 4.76, '2025-04-10', 4.8, 4.85]]
['上海机场', '600009', 812, ['2025-04-07', 30.66, 31.45, '2025-04-09', 33.16, 32.04, '2025-04-10', 33.02, 33.2]]
['包钢股份', '600010', 806, ['2025-04-01', 1.8, 1.8, '2025-04-03', 1.8, 1.8, '2025-04-07', 1.65, 1.78]]
['宝信软件', '600845', 791, ['2025-04-08', 26.15, 26.19, '2025-04-10', 27.8, 27.15, '2025-04-11', 27.46, 27.58]]
['通威股份', '600438', 779, ['2025-04-08', 17.01, 17.22, '2025-04-10', 17.47, 17.41, '2025-04-11', 17.31, 17.47]]
['光大证券', '601788', 757, ['2025-04-08', 15.85, 16.05, '2025-04-10', 16.48, 16.24, '2025-04-11', 16.42, 16.46]]
['TCL科技', '000100', 747, ['2025-04-09', 3.85, 3.92, '2025-04-10', 4.02, 4.01, '2025-04-11', 3.98, 3.98]]
['兆易创新', '603986', 745, ['2025-03-26', 116.96, 118.5, '2025-04-01', 117.49, 117.19, '2025-04-07', 104.2, 105.0]]
['宁波港', '601018', 715, ['2025-04-07', 3.44, 3.5, '2025-04-09', 3.76, 3.64, '2025-04-10', 3.7, 3.77]]
['江淮汽车', '600418', 709, ['2025-03-21', 31.79, 32.13, '2025-03-25', 32.78, 32.6, '2025-03-27', 34.5, 34.73]]
['上海医药', '601607', 691, ['2025-04-07', 17.8, 18.32, '2025-04-09', 18.7, 18.57, '2025-04-11', 18.64, 18.73]]
['合盛硅业', '603260', 658, ['2025-04-07', 51.5, 53.09, '2025-04-08', 54.07, 53.8, '2025-04-10', 56.0, 56.15]]
['中联重科', '000157', 652, ['2025-03-28', 7.51, 7.59, '2025-04-02', 7.62, 7.55, '2025-04-03', 7.55, 7.57]]
['华东医药', '000963', 649, ['2025-03-21', 33.75, 33.75, '2025-03-27', 37.13, 34.51, '2025-03-31', 36.7, 36.84]]
['中航西飞', '000768', 648, ['2025-03-31', 23.65, 23.91, '2025-04-01', 24.27, 24.27, '2025-04-02', 23.5, 24.14]]
['巨化股份', '600160', 636, ['2025-04-07', 22.44, 22.94, '2025-04-10', 23.78, 23.62, '2025-04-11', 23.57, 23.73]]
['紫光国微', '002049', 609, ['2025-04-08', 62.78, 63.22, '2025-04-09', 69.06, 66.07, '2025-04-10', 69.31, 69.49]]
['中国中冶', '601618', 609, ['2025-04-07', 2.79, 2.93, '2025-04-09', 2.97, 2.96, '2025-04-10', 2.98, 3.0]]
['方正证券', '601901', 607, ['2025-04-08', 7.11, 7.27, '2025-04-10', 7.39, 7.32, '2025-04-11', 7.38, 7.38]]
['海航控股', '600221', 596, ['2025-04-08', 1.33, 1.34, '2025-04-09', 1.38, 1.38, '2025-04-10', 1.38, 1.39]]
['特变电工', '600089', 584, ['2025-04-07', 11.13, 11.59, '2025-04-10', 11.69, 11.61, '2025-04-11', 11.56, 11.67]]
['国联民生', '601456', 557, ['2025-04-08', 9.31, 9.52, '2025-04-10', 9.84, 9.69, '2025-04-11', 9.81, 9.82]]
['中航机载', '600372', 531, ['2025-04-07', 10.17, 10.67, '2025-04-09', 11.05, 10.8, '2025-04-10', 11.0, 11.11]]
['中国长城', '000066', 529, ['2025-03-25', 14.12, 14.3, '2025-04-03', 14.14, 14.09, '2025-04-10', 16.4, 16.49]]
['东方盛虹', '000301', 527, ['2025-04-07', 7.47, 7.79, '2025-04-09', 8.01, 7.95, '2025-04-10', 8.01, 8.1]]
['供销大集', '000564', 525, ['2025-03-31', 2.67, 2.67, '2025-04-03', 2.77, 2.69, '2025-04-07', 2.59, 2.68]]
['领益智造', '002600', 508, ['2025-03-21', 9.13, 9.19, '2025-03-27', 9.15, 9.13, '2025-03-31', 9.05, 9.08]]
['同仁堂', '600085', 503, ['2025-04-07', 34.79, 35.64, '2025-04-09', 37.0, 36.24, '2025-04-10', 36.92, 37.18]]
['北新建材', '000786', 500, ['2025-04-07', 28.34, 28.38, '2025-04-09', 30.24, 29.3, '2025-04-11', 29.62, 30.11]]
['兴业证券', '601377', 497, ['2025-04-08', 5.54, 5.62, '2025-04-10', 5.76, 5.67, '2025-04-11', 5.76, 5.79]]
['招商轮船', '601872', 489, ['2025-04-09', 5.94, 5.95, '2025-04-10', 6.18, 6.08, '2025-04-11', 6.01, 6.18]]
